ko:K00995	deb:DehaBAV1_0868
ko:K06346	deb:DehaBAV1_0921
ko:K03536	deb:DehaBAV1_0925
ko:K02914	deb:DehaBAV1_0926
ko:K02963	deb:DehaBAV1_0927
ko:K02990	deb:DehaBAV1_0929
ko:K03631	deb:DehaBAV1_0934
ko:K04078	deb:DehaBAV1_1235
ko:K04077	deb:DehaBAV1_1236
ko:K04651	deb:DehaBAV1_1238
ko:K04652	deb:DehaBAV1_1239
ko:K04653	deb:DehaBAV1_1241
ko:K04655	deb:DehaBAV1_1243
ko:K02897	deb:DehaBAV1_1255
ko:K05808	deb:DehaBAV1_1260
ko:K00567	deb:DehaBAV1_1261
ko:K03630	deb:DehaBAV1_1263
ko:K02434	deb:DehaBAV1_1307
ko:K09981	deb:DehaBAV1_1333
ko:K03926	deb:DehaBAV1_1337
ko:K05794	deb:DehaBAV1_0168
ko:K02111	deb:DehaBAV1_0536
ko:K03979	deb:DehaBAV1_0002
ko:K01591	deb:DehaBAV1_0012
ko:K07560	deb:DehaBAV1_0018
ko:K03711	deb:DehaBAV1_0019
ko:K02237	deb:DehaBAV1_0024
ko:K03499	deb:DehaBAV1_0026
ko:K03498	deb:DehaBAV1_0028
ko:K03499	deb:DehaBAV1_0029
ko:K07220	deb:DehaBAV1_0030
ko:K03306	deb:DehaBAV1_0031
ko:K07007	deb:DehaBAV1_0128
ko:K03271	deb:DehaBAV1_0146
ko:K07031	deb:DehaBAV1_0147
ko:K01784	deb:DehaBAV1_0149
ko:K07007	deb:DehaBAV1_0158
ko:K07043	deb:DehaBAV1_0220
ko:K01652	deb:DehaBAV1_0752
ko:K03517	deb:DehaBAV1_1338
ko:K03118	deb:DehaBAV1_1345
ko:K03116	deb:DehaBAV1_1346
ko:K03116	deb:DehaBAV1_1347
ko:K03116	deb:DehaBAV1_1348
ko:K01737	deb:DehaBAV1_1351
ko:K03565	deb:DehaBAV1_1353
ko:K09769	deb:DehaBAV1_1355
ko:K07053	deb:DehaBAV1_1356
ko:K01990	deb:DehaBAV1_1365
ko:K01992	deb:DehaBAV1_1366
ko:K03455	deb:DehaBAV1_1372
ko:K02499	deb:DehaBAV1_1381
ko:K02968	deb:DehaBAV1_1383
ko:K04564	deb:DehaBAV1_0840
ko:K03655	deb:DehaBAV1_1079
ko:K00030	deb:DehaBAV1_0427
ko:K12574	deb:DehaBAV1_0415
ko:K01992	deb:DehaBAV1_0771
ko:K01950	deb:DehaBAV1_0951
ko:K04042	deb:DehaBAV1_0505
ko:K00602	deb:DehaBAV1_1225
ko:K03711	deb:DehaBAV1_0603
ko:K13292	deb:DehaBAV1_0857
ko:K01491	deb:DehaBAV1_0637
ko:K02881	deb:DehaBAV1_0467
ko:K03524	deb:DehaBAV1_0768
ko:K01990	deb:DehaBAV1_0770
ko:K03743	deb:DehaBAV1_1102
ko:K01890	deb:DehaBAV1_0348
ko:K05947	deb:DehaBAV1_1174
ko:K06994	deb:DehaBAV1_0790
ko:K13640	deb:DehaBAV1_1219
ko:K11754	deb:DehaBAV1_0015
ko:K01156	deb:DehaBAV1_1044
ko:K04758	deb:DehaBAV1_1294
ko:K00620	deb:DehaBAV1_1067
ko:K03605	deb:DehaBAV1_0259
ko:K13993	deb:DehaBAV1_0838
ko:K08591	deb:DehaBAV1_0008
ko:K11749	deb:DehaBAV1_0352
ko:K00441	deb:DehaBAV1_0139
ko:K14088	deb:DehaBAV1_0780
ko:K03558	deb:DehaBAV1_0161
ko:K14224	deb:DehaBAV1_R0033
ko:K14218	deb:DehaBAV1_R0003
ko:K14234	deb:DehaBAV1_R0028
ko:K01622	deb:DehaBAV1_1034
ko:K14229	deb:DehaBAV1_R0025
ko:K00966	deb:DehaBAV1_1018
ko:K14087	deb:DehaBAV1_0779
ko:K14228	deb:DehaBAV1_R0020
ko:K14225	deb:DehaBAV1_R0041
ko:K14091	deb:DehaBAV1_0786
ko:K14235	deb:DehaBAV1_R0039
ko:K14219	deb:DehaBAV1_R0016
ko:K14228	deb:DehaBAV1_R0043
ko:K14233	deb:DehaBAV1_R0010
ko:K14126	deb:DehaBAV1_0588
ko:K14128	deb:DehaBAV1_0587
ko:K00024	deb:DehaBAV1_0428
ko:K13963	deb:DehaBAV1_0132
ko:K14234	deb:DehaBAV1_R0030
ko:K14221	deb:DehaBAV1_R0035
ko:K14233	deb:DehaBAV1_R0009
ko:K02013	deb:DehaBAV1_0737
ko:K00335	deb:DehaBAV1_0782
ko:K14225	deb:DehaBAV1_R0024
ko:K14219	deb:DehaBAV1_R0026
ko:K14233	deb:DehaBAV1_R0011
ko:K07045	deb:DehaBAV1_1256
ko:K14228	deb:DehaBAV1_R0044
ko:K14232	deb:DehaBAV1_R0018
ko:K14219	deb:DehaBAV1_R0045
ko:K14237	deb:DehaBAV1_R0036
ko:K14232	deb:DehaBAV1_R0051
ko:K14232	deb:DehaBAV1_R0013
ko:K14236	deb:DehaBAV1_R0029
ko:K14224	deb:DehaBAV1_R0050
ko:K10907	deb:DehaBAV1_1153
ko:K01980	deb:DehaBAV1_R0001
ko:K14086	deb:DehaBAV1_0778
ko:K14225	deb:DehaBAV1_R0014
ko:K14223	deb:DehaBAV1_R0021
ko:K14228	deb:DehaBAV1_R0017
ko:K14222	deb:DehaBAV1_R0042
ko:K14228	deb:DehaBAV1_R0040
ko:K14230	deb:DehaBAV1_R0008
ko:K06147	deb:DehaBAV1_0985
ko:K14219	deb:DehaBAV1_R0049
ko:K14231	deb:DehaBAV1_R0019
ko:K14218	deb:DehaBAV1_R0048
