ko:K03706	banr:A16R_40180
ko:K03667	banr:A16R_40190
ko:K01419	banr:A16R_40200
ko:K03733	banr:A16R_40210
ko:K04094	banr:A16R_40220
ko:K04096	banr:A16R_40250
ko:K01902	banr:A16R_40260
ko:K01903	banr:A16R_40270
ko:K03470	banr:A16R_40280
ko:K14540	banr:A16R_40290
ko:K03100	banr:A16R_40300
ko:K02884	banr:A16R_40310
ko:K00554	banr:A16R_40320
ko:K02860	banr:A16R_40330
ko:K06960	banr:A16R_40340
ko:K02959	banr:A16R_40350
ko:K03106	banr:A16R_40360
ko:K09787	banr:A16R_40370
ko:K03110	banr:A16R_40380
ko:K03685	banr:A16R_40410
ko:K02078	banr:A16R_40420
ko:K02016	banr:A16R_48240
ko:K02015	banr:A16R_48250
ko:K06969	banr:A16R_48370
ko:K07145	banr:A16R_48410
ko:K08600	banr:A16R_48420
ko:K02013	banr:A16R_48430
ko:K02015	banr:A16R_48440
ko:K02016	banr:A16R_48450
ko:K03311	banr:A16R_48500
ko:K06182	banr:A16R_48510
ko:K07456	banr:A16R_48520
ko:K02347	banr:A16R_48530
ko:K09888	banr:A16R_48550
ko:K03471	banr:A16R_48560
ko:K01893	banr:A16R_48590
ko:K01890	banr:A16R_48600
ko:K01889	banr:A16R_48610
ko:K03437	banr:A16R_48620
ko:K06426	banr:A16R_48630
ko:K06950	banr:A16R_48640
ko:K07052	banr:A16R_48650
ko:K07052	banr:A16R_48660
ko:K00074	banr:A16R_56650
ko:K00626	banr:A16R_56660
ko:K06131	banr:A16R_56680
ko:K07693	banr:A16R_56740
ko:K07778	banr:A16R_56750
ko:K01992	banr:A16R_56760
ko:K01990	banr:A16R_56770
ko:K01265	banr:A16R_56780
ko:K01887	banr:A16R_56900
ko:K01480	banr:A16R_56960
ko:K00797	banr:A16R_56970
ko:K01126	banr:A16R_57010
ko:K01821	banr:A16R_57050
ko:K06885	banr:A16R_57060
ko:K02016	banr:A16R_57070
ko:K02013	banr:A16R_57080
