ko:K03593	saui:AZ30_11455
ko:K11068	saui:AZ30_11475
ko:K07038	saui:AZ30_11485
ko:K02015	saui:AZ30_11500
ko:K02015	saui:AZ30_11505
ko:K02016	saui:AZ30_11510
ko:K01220	saui:AZ30_11585
ko:K02787	saui:AZ30_11590
ko:K02788	saui:AZ30_11590
ko:K02786	saui:AZ30_11595
ko:K01635	saui:AZ30_11600
ko:K02313	saui:AZ30_00005
ko:K02338	saui:AZ30_00010
ko:K03629	saui:AZ30_00020
ko:K02470	saui:AZ30_00025
ko:K02469	saui:AZ30_00030
ko:K01745	saui:AZ30_00040
ko:K01875	saui:AZ30_00045
ko:K00641	saui:AZ30_00060
ko:K02939	saui:AZ30_00075
ko:K01939	saui:AZ30_00085
ko:K07668	saui:AZ30_00100
ko:K07652	saui:AZ30_00105
ko:K00783	saui:AZ30_00130
ko:K01126	saui:AZ30_00150
ko:K02545	saui:AZ30_00160
ko:K03655	saui:AZ30_00225
ko:K00657	saui:AZ30_00280
ko:K01834	saui:AZ30_01930
ko:K03387	saui:AZ30_01950
ko:K03386	saui:AZ30_01955
ko:K01771	saui:AZ30_00505
ko:K08170	saui:AZ30_00545
ko:K03324	saui:AZ30_00550
ko:K10254	saui:AZ30_00555
ko:K03303	saui:AZ30_00575
ko:K14196	saui:AZ30_00580
ko:K02015	saui:AZ30_00590
ko:K02015	saui:AZ30_00595
ko:K02016	saui:AZ30_00600
ko:K01586	saui:AZ30_00640
ko:K03366	saui:AZ30_00660
ko:K01784	saui:AZ30_00665
ko:K04564	saui:AZ30_00690
ko:K03784	saui:AZ30_00705
ko:K01619	saui:AZ30_00715
ko:K01839	saui:AZ30_00720
ko:K02042	saui:AZ30_00725
ko:K02042	saui:AZ30_00730
ko:K02041	saui:AZ30_00735
ko:K02044	saui:AZ30_00740
ko:K01945	saui:AZ30_05130
ko:K16785	saui:AZ30_05135
ko:K16786	saui:AZ30_05140
ko:K16787	saui:AZ30_05140
ko:K16925	saui:AZ30_05145
ko:K06969	saui:AZ30_05160
ko:K11189	saui:AZ30_05170
ko:K08483	saui:AZ30_05175
ko:K00425	saui:AZ30_05185
ko:K00426	saui:AZ30_05190
ko:K03499	saui:AZ30_05195
ko:K12574	saui:AZ30_05200
ko:K06956	saui:AZ30_01965
ko:K03816	saui:AZ30_01985
ko:K16169	saui:AZ30_01990
ko:K00088	saui:AZ30_01995
ko:K01951	saui:AZ30_02000
ko:K08987	saui:AZ30_02025
ko:K11042	saui:AZ30_02035
ko:K03427	saui:AZ30_02085
ko:K01154	saui:AZ30_02090
ko:K05577	saui:AZ30_02185
ko:K09822	saui:AZ30_02190
ko:K02622	saui:AZ30_06590
ko:K02621	saui:AZ30_06595
ko:K03310	saui:AZ30_06600
ko:K03480	saui:AZ30_06605
ko:K14205	saui:AZ30_06620
ko:K07304	saui:AZ30_06625
ko:K01821	saui:AZ30_06640
ko:K04517	saui:AZ30_06650
ko:K01657	saui:AZ30_06660
ko:K01658	saui:AZ30_06665
ko:K00766	saui:AZ30_06670
ko:K01609	saui:AZ30_06675
ko:K01817	saui:AZ30_06680
ko:K01696	saui:AZ30_06685
ko:K01695	saui:AZ30_06690
ko:K11694	saui:AZ30_06695
ko:K11695	saui:AZ30_06700
ko:K02034	saui:AZ30_06725
ko:K02033	saui:AZ30_06730
ko:K02039	saui:AZ30_06745
ko:K02036	saui:AZ30_06750
ko:K02038	saui:AZ30_06755
ko:K02037	saui:AZ30_06760
ko:K02040	saui:AZ30_06765
ko:K00243	saui:AZ30_06775
ko:K00928	saui:AZ30_06785
ko:K00133	saui:AZ30_06790
ko:K01714	saui:AZ30_06795
ko:K00215	saui:AZ30_06800
ko:K05822	saui:AZ30_06805
ko:K01775	saui:AZ30_06815
ko:K01586	saui:AZ30_06820
ko:K03704	saui:AZ30_06830
ko:K01512	saui:AZ30_06840
ko:K01462	saui:AZ30_05210
ko:K00161	saui:AZ30_05220
ko:K00162	saui:AZ30_05225
ko:K00627	saui:AZ30_05230
ko:K00382	saui:AZ30_05235
ko:K11072	saui:AZ30_05250
ko:K11071	saui:AZ30_05255
ko:K11070	saui:AZ30_05260
ko:K11069	saui:AZ30_05265
ko:K03322	saui:AZ30_05280
ko:K01092	saui:AZ30_05290
ko:K06207	saui:AZ30_05300
ko:K03588	saui:AZ30_05320
ko:K01958	saui:AZ30_05325
ko:K02259	saui:AZ30_05330
ko:K08976	saui:AZ30_05340
ko:K01126	saui:AZ30_05355
ko:K00954	saui:AZ30_05375
ko:K07040	saui:AZ30_05385
ko:K02911	saui:AZ30_05390
ko:K14193	saui:AZ30_05400
ko:K11085	saui:AZ30_09645
ko:K07586	saui:AZ30_09650
ko:K03575	saui:AZ30_09655
ko:K07038	saui:AZ30_09660
ko:K09693	saui:AZ30_09670
ko:K03565	saui:AZ30_09680
ko:K04478	saui:AZ30_09685
ko:K05520	saui:AZ30_09690
ko:K03319	saui:AZ30_14075
ko:K05786	saui:AZ30_14080
ko:K07241	saui:AZ30_14090
ko:K11631	saui:AZ30_14105
ko:K11632	saui:AZ30_14110
ko:K03704	saui:AZ30_14135
ko:K03501	saui:AZ30_14160
ko:K03495	saui:AZ30_14165
ko:K03650	saui:AZ30_14170
ko:K03536	saui:AZ30_14175
ko:K02914	saui:AZ30_14180
ko:K06153	saui:AZ30_14290
ko:K07729	saui:AZ30_14345
ko:K03928	saui:AZ30_02210
ko:K03308	saui:AZ30_02220
ko:K17216	saui:AZ30_02225
ko:K17217	saui:AZ30_02230
ko:K02071	saui:AZ30_02235
ko:K02072	saui:AZ30_02240
ko:K02073	saui:AZ30_02245
ko:K00265	saui:AZ30_02285
ko:K00266	saui:AZ30_02290
ko:K02818	saui:AZ30_02300
ko:K02819	saui:AZ30_02300
ko:K01226	saui:AZ30_02305
ko:K03486	saui:AZ30_02310
ko:K02343	saui:AZ30_02320
ko:K09747	saui:AZ30_02325
ko:K06187	saui:AZ30_02330
ko:K00943	saui:AZ30_02360
ko:K02341	saui:AZ30_02370
ko:K07461	saui:AZ30_02390
ko:K07056	saui:AZ30_02395
ko:K01874	saui:AZ30_02400
ko:K03424	saui:AZ30_02405
ko:K05985	saui:AZ30_02410
ko:K02528	saui:AZ30_02415
ko:K00919	saui:AZ30_02425
ko:K09685	saui:AZ30_02430
ko:K09022	saui:AZ30_02435
ko:K06412	saui:AZ30_02440
ko:K04042	saui:AZ30_02445
ko:K00948	saui:AZ30_02450
ko:K02897	saui:AZ30_02455
ko:K01056	saui:AZ30_02460
ko:K03723	saui:AZ30_02465
ko:K02499	saui:AZ30_02475
ko:K07571	saui:AZ30_02490
ko:K03311	saui:AZ30_06865
ko:K00658	saui:AZ30_06890
ko:K00164	saui:AZ30_06895
ko:K07491	saui:AZ30_06915
ko:K02563	saui:AZ30_06925
ko:K03797	saui:AZ30_06935
ko:K07305	saui:AZ30_06950
ko:K07304	saui:AZ30_06955
ko:K09125	saui:AZ30_06995
ko:K03469	saui:AZ30_07005
ko:K08170	saui:AZ30_07015
ko:K03294	saui:AZ30_07020
ko:K01754	saui:AZ30_07025
ko:K00259	saui:AZ30_07030
ko:K07444	saui:AZ30_07055
ko:K03700	saui:AZ30_07080
ko:K05366	saui:AZ30_07085
ko:K10773	saui:AZ30_07095
ko:K02086	saui:AZ30_07100
ko:K01893	saui:AZ30_07105
ko:K03524	saui:AZ30_07115
ko:K00974	saui:AZ30_07120
ko:K07491	saui:AZ30_00775
ko:K04072	saui:AZ30_00780
ko:K01104	saui:AZ30_00795
ko:K17716	saui:AZ30_00805
ko:K01791	saui:AZ30_00815
ko:K13012	saui:AZ30_00845
ko:K01784	saui:AZ30_00850
ko:K02472	saui:AZ30_00855
ko:K01791	saui:AZ30_00860
