ko:K05939	rps:M9Y_02985
ko:K09816	rps:M9Y_02990
ko:K04077	rps:M9Y_03015
ko:K04078	rps:M9Y_03020
ko:K00989	rps:M9Y_03025
ko:K03687	rps:M9Y_03030
ko:K02968	rps:M9Y_03045
ko:K02879	rps:M9Y_03050
ko:K03040	rps:M9Y_03055
ko:K02948	rps:M9Y_03060
ko:K02952	rps:M9Y_03065
ko:K03076	rps:M9Y_03075
ko:K02876	rps:M9Y_03080
ko:K02907	rps:M9Y_03085
ko:K02988	rps:M9Y_03090
ko:K02881	rps:M9Y_03095
ko:K02933	rps:M9Y_03100
ko:K02994	rps:M9Y_03105
ko:K02954	rps:M9Y_03110
ko:K02931	rps:M9Y_03115
ko:K02895	rps:M9Y_03120
ko:K02874	rps:M9Y_03125
ko:K02961	rps:M9Y_03130
ko:K02904	rps:M9Y_03135
ko:K02878	rps:M9Y_03140
ko:K02982	rps:M9Y_03145
ko:K02890	rps:M9Y_03150
ko:K02965	rps:M9Y_03155
ko:K02886	rps:M9Y_03160
ko:K02892	rps:M9Y_03165
ko:K02926	rps:M9Y_03170
ko:K02906	rps:M9Y_03175
ko:K02946	rps:M9Y_03180
ko:K02358	rps:M9Y_03185
ko:K03218	rps:M9Y_03190
ko:K03531	rps:M9Y_03200
ko:K03704	rps:M9Y_03220
ko:K02528	rps:M9Y_03230
ko:K04744	rps:M9Y_03240
ko:K03601	rps:M9Y_03245
ko:K01142	rps:M9Y_03250
ko:K03977	rps:M9Y_03260
ko:K03688	rps:M9Y_03265
ko:K03183	rps:M9Y_03270
ko:K03424	rps:M9Y_03280
ko:K01874	rps:M9Y_03285
ko:K00943	rps:M9Y_03290
ko:K03179	rps:M9Y_03300
ko:K01873	rps:M9Y_03305
ko:K09760	rps:M9Y_03320
ko:K03544	rps:M9Y_03330
ko:K03790	rps:M9Y_03335
ko:K06920	rps:M9Y_03340
ko:K07552	rps:M9Y_03355
ko:K09808	rps:M9Y_03360
ko:K02198	rps:M9Y_03380
ko:K05349	rps:M9Y_03390
ko:K04764	rps:M9Y_03400
ko:K07010	rps:M9Y_03450
ko:K02517	rps:M9Y_03495
ko:K00912	rps:M9Y_03500
ko:K01972	rps:M9Y_03505
ko:K00773	rps:M9Y_03510
ko:K12340	rps:M9Y_01100
ko:K01092	rps:M9Y_01170
ko:K08738	rps:M9Y_01240
ko:K06179	rps:M9Y_01260
ko:K01439	rps:M9Y_04240
ko:K03469	rps:M9Y_03530
ko:K09949	rps:M9Y_03540
ko:K02342	rps:M9Y_03550
ko:K00626	rps:M9Y_03570
ko:K00625	rps:M9Y_00520
ko:K03593	rps:M9Y_00580
ko:K00241	rps:M9Y_00605
ko:K02433	rps:M9Y_00735
ko:K00059	rps:M9Y_03700
ko:K09691	rps:M9Y_00015
ko:K01885	rps:M9Y_01590
ko:K03386	rps:M9Y_01600
ko:K05568	rps:M9Y_01370
ko:K05568	rps:M9Y_01375
ko:K05568	rps:M9Y_01380
ko:K01082	rps:M9Y_01450
ko:K02258	rps:M9Y_01485
ko:K03294	rps:M9Y_01500
ko:K02427	rps:M9Y_00785
ko:K01322	rps:M9Y_00840
ko:K00674	rps:M9Y_00955
ko:K06147	rps:M9Y_01015
ko:K05794	rps:M9Y_03815
ko:K02193	rps:M9Y_03850
ko:K03455	rps:M9Y_03930
ko:K05524	rps:M9Y_04025
ko:K04763	rps:M9Y_01760
ko:K01989	rps:M9Y_01790
ko:K05832	rps:M9Y_01795
ko:K05833	rps:M9Y_01800
ko:K01782	rps:M9Y_02685
ko:K05570	rps:M9Y_02695
