ko:K02393	vcz:VAB027_2836
ko:K02392	vcz:VAB027_2837
ko:K03274	vcz:VAB027_3610
ko:K02847	vcz:VAB027_3613
ko:K07270	vcz:VAB027_3614
ko:K02843	vcz:VAB027_3615
ko:K02527	vcz:VAB027_3617
ko:K11211	vcz:VAB027_3624
ko:K12982	vcz:VAB027_3625
ko:K12984	vcz:VAB027_3626
ko:K00954	vcz:VAB027_3628
ko:K10563	vcz:VAB027_3629
ko:K02913	vcz:VAB027_3631
ko:K02902	vcz:VAB027_3632
ko:K03630	vcz:VAB027_3633
ko:K03406	vcz:VAB027_3634
ko:K13038	vcz:VAB027_3635
ko:K05501	vcz:VAB027_3636
ko:K02517	vcz:VAB027_3637
ko:K02560	vcz:VAB027_3638
ko:K00762	vcz:VAB027_3639
ko:K00989	vcz:VAB027_3640
ko:K07727	vcz:VAB027_3651
ko:K03427	vcz:VAB027_3652
ko:K01154	vcz:VAB027_3653
ko:K01153	vcz:VAB027_3655
ko:K11191	vcz:VAB027_3664
ko:K11192	vcz:VAB027_3664
ko:K07106	vcz:VAB027_3665
ko:K15835	vcz:VAB027_3666
ko:K02015	vcz:VAB027_3667
ko:K02016	vcz:VAB027_3668
ko:K02013	vcz:VAB027_3669
ko:K02014	vcz:VAB027_3670
ko:K18893	vcz:VAB027_3671
ko:K03654	vcz:VAB027_3674
ko:K05786	vcz:VAB027_3675
ko:K00681	vcz:VAB027_3676
ko:K03657	vcz:VAB027_3679
ko:K01414	vcz:VAB027_3680
ko:K07115	vcz:VAB027_3681
ko:K00383	vcz:VAB027_3682
ko:K02034	vcz:VAB027_3684
ko:K02033	vcz:VAB027_3685
ko:K02035	vcz:VAB027_3686
ko:K02031	vcz:VAB027_3687
ko:K02032	vcz:VAB027_3687
ko:K03656	vcz:VAB027_3694
ko:K18136	vcz:VAB027_3695
ko:K03585	vcz:VAB027_3696
ko:K18138	vcz:VAB027_3697
ko:K09806	vcz:VAB027_3698
ko:K00053	vcz:VAB027_3699
ko:K02521	vcz:VAB027_3700
ko:K00230	vcz:VAB027_3709
ko:K03498	vcz:VAB027_3710
ko:K01825	vcz:VAB027_3712
ko:K00346	vcz:VAB027_2934
ko:K05527	vcz:VAB027_2935
ko:K07286	vcz:VAB027_2937
ko:K06959	vcz:VAB027_177
ko:K04760	vcz:VAB027_178
ko:K07659	vcz:VAB027_180
ko:K07638	vcz:VAB027_181
ko:K16345	vcz:VAB027_182
ko:K03655	vcz:VAB027_183
ko:K03060	vcz:VAB027_185
ko:K00942	vcz:VAB027_186
ko:K09125	vcz:VAB027_187
ko:K11105	vcz:VAB027_191
ko:K04084	vcz:VAB027_193
ko:K01744	vcz:VAB027_198
ko:K07113	vcz:VAB027_200
ko:K03216	vcz:VAB027_201
ko:K04564	vcz:VAB027_202
ko:K07640	vcz:VAB027_203
ko:K06006	vcz:VAB027_205
ko:K13283	vcz:VAB027_206
ko:K00850	vcz:VAB027_207
ko:K09892	vcz:VAB027_210
ko:K00297	vcz:VAB027_211
ko:K12525	vcz:VAB027_212
ko:K01739	vcz:VAB027_213
ko:K03764	vcz:VAB027_214
ko:K00029	vcz:VAB027_215
ko:K02909	vcz:VAB027_216
