ko:K02878	xoy:AZ54_05835
ko:K02904	xoy:AZ54_05840
ko:K02961	xoy:AZ54_05845
ko:K02874	xoy:AZ54_05850
ko:K02895	xoy:AZ54_05855
ko:K01971	xoy:AZ54_10435
ko:K03684	xoy:AZ54_10440
ko:K03601	xoy:AZ54_10460
ko:K18979	xoy:AZ54_10465
ko:K17758	xoy:AZ54_10470
ko:K17759	xoy:AZ54_10470
ko:K06925	xoy:AZ54_10475
ko:K01448	xoy:AZ54_10480
ko:K03572	xoy:AZ54_10485
ko:K09164	xoy:AZ54_10490
ko:K09973	xoy:AZ54_10495
ko:K00023	xoy:AZ54_10505
ko:K01894	xoy:AZ54_10510
ko:K03799	xoy:AZ54_10515
ko:K07007	xoy:AZ54_10525
ko:K09768	xoy:AZ54_10535
ko:K03704	xoy:AZ54_10540
ko:K00799	xoy:AZ54_10545
ko:K00759	xoy:AZ54_10560
ko:K05591	xoy:AZ54_10565
ko:K15738	xoy:AZ54_10570
ko:K04564	xoy:AZ54_10590
ko:K01092	xoy:AZ54_10595
ko:K15396	xoy:AZ54_10600
ko:K02044	xoy:AZ54_10605
ko:K02356	xoy:AZ54_10620
ko:K00568	xoy:AZ54_10635
ko:K01051	xoy:AZ54_10665
ko:K07481	xoy:AZ54_10690
ko:K07577	xoy:AZ54_15125
ko:K03724	xoy:AZ54_15140
ko:K06953	xoy:AZ54_15145
ko:K03704	xoy:AZ54_15165
ko:K00760	xoy:AZ54_15175
ko:K01207	xoy:AZ54_15180
ko:K06876	xoy:AZ54_15185
ko:K06955	xoy:AZ54_15190
ko:K07481	xoy:AZ54_15210
ko:K03215	xoy:AZ54_15225
ko:K03584	xoy:AZ54_15235
ko:K03685	xoy:AZ54_15245
ko:K03100	xoy:AZ54_15255
ko:K03596	xoy:AZ54_15260
ko:K03088	xoy:AZ54_15275
ko:K01782	xoy:AZ54_15280
ko:K16264	xoy:AZ54_15285
ko:K00140	xoy:AZ54_15310
ko:K01190	xoy:AZ54_15330
ko:K01206	xoy:AZ54_15340
ko:K07483	xoy:AZ54_15345
ko:K12262	xoy:AZ54_15395
ko:K01752	xoy:AZ54_15410
ko:K07481	xoy:AZ54_19905
ko:K07157	xoy:AZ54_20000
ko:K02558	xoy:AZ54_20005
ko:K00939	xoy:AZ54_20010
ko:K01507	xoy:AZ54_20055
ko:K02014	xoy:AZ54_20070
ko:K07506	xoy:AZ54_20075
ko:K03147	xoy:AZ54_20085
ko:K00053	xoy:AZ54_20095
ko:K01652	xoy:AZ54_20100
ko:K11258	xoy:AZ54_20105
ko:K01754	xoy:AZ54_20110
