ko:K03427	dmg:GY50_0689
ko:K03075	dmg:GY50_1446
ko:K02434	dmg:GY50_1447
ko:K12141	dmg:GY50_1459
ko:K12140	dmg:GY50_1460
ko:K03386	dmg:GY50_1469
ko:K09981	dmg:GY50_1478
ko:K03744	dmg:GY50_1479
ko:K03799	dmg:GY50_1480
ko:K00640	dmg:GY50_1481
ko:K03926	dmg:GY50_1482
ko:K03517	dmg:GY50_1484
ko:K03183	dmg:GY50_1485
ko:K03734	dmg:GY50_1489
ko:K03118	dmg:GY50_1493
ko:K03116	dmg:GY50_1494
ko:K03116	dmg:GY50_1495
ko:K03116	dmg:GY50_1496
ko:K00796	dmg:GY50_1497
ko:K07568	dmg:GY50_0717
ko:K03787	dmg:GY50_0718
ko:K01579	dmg:GY50_0721
ko:K00606	dmg:GY50_0722
ko:K01918	dmg:GY50_0723
ko:K01990	dmg:GY50_0728
ko:K09013	dmg:GY50_0730
ko:K02013	dmg:GY50_0732
ko:K14415	dmg:GY50_0737
ko:K01649	dmg:GY50_0739
ko:K00052	dmg:GY50_0740
ko:K01704	dmg:GY50_0741
ko:K01703	dmg:GY50_0742
ko:K07507	dmg:GY50_0743
ko:K01649	dmg:GY50_0744
ko:K00053	dmg:GY50_0745
ko:K01653	dmg:GY50_0746
ko:K01652	dmg:GY50_0747
ko:K01687	dmg:GY50_0748
ko:K01951	dmg:GY50_0750
ko:K01945	dmg:GY50_0752
ko:K01588	dmg:GY50_0753
ko:K01756	dmg:GY50_0754
ko:K01923	dmg:GY50_0755
ko:K00950	dmg:GY50_1498
ko:K01737	dmg:GY50_1499
ko:K03565	dmg:GY50_1501
ko:K09769	dmg:GY50_1503
ko:K07053	dmg:GY50_1504
ko:K07457	dmg:GY50_1506
ko:K02594	dmg:GY50_1509
ko:K01990	dmg:GY50_1514
ko:K01992	dmg:GY50_1515
ko:K00145	dmg:GY50_1520
ko:K03455	dmg:GY50_1521
ko:K02469	dmg:GY50_1524
ko:K00928	dmg:GY50_1527
ko:K15635	dmg:GY50_1530
ko:K02499	dmg:GY50_1532
ko:K06973	dmg:GY50_1533
ko:K02968	dmg:GY50_1534
ko:K01356	dmg:GY50_1535
ko:K01628	dmg:GY50_1536
ko:K00604	dmg:GY50_1537
ko:K02313	dmg:GY50_0001
ko:K03979	dmg:GY50_0003
ko:K00969	dmg:GY50_0004
ko:K01693	dmg:GY50_0756
ko:K00817	dmg:GY50_0757
ko:K00013	dmg:GY50_0758
ko:K00765	dmg:GY50_0759
ko:K01892	dmg:GY50_0760
ko:K03524	dmg:GY50_0763
ko:K01990	dmg:GY50_0765
ko:K01992	dmg:GY50_0766
ko:K02004	dmg:GY50_0769
ko:K02003	dmg:GY50_0770
ko:K03596	dmg:GY50_0772
ko:K00334	dmg:GY50_0776
ko:K04568	dmg:GY50_0782
ko:K02356	dmg:GY50_0783
ko:K06994	dmg:GY50_0785
ko:K03893	dmg:GY50_0788
ko:K07159	dmg:GY50_0795
ko:K09740	dmg:GY50_0798
ko:K02669	dmg:GY50_0801
ko:K00330	dmg:GY50_0802
ko:K00331	dmg:GY50_0803
ko:K00332	dmg:GY50_0804
ko:K00333	dmg:GY50_0805
ko:K00337	dmg:GY50_0806
ko:K05580	dmg:GY50_0807
ko:K00339	dmg:GY50_0808
ko:K02470	dmg:GY50_0005
ko:K00951	dmg:GY50_0006
ko:K01892	dmg:GY50_0007
ko:K08591	dmg:GY50_0009
ko:K00826	dmg:GY50_0010
ko:K02346	dmg:GY50_0011
ko:K01591	dmg:GY50_0014
ko:K11754	dmg:GY50_0017
ko:K07560	dmg:GY50_0020
ko:K03711	dmg:GY50_0021
ko:K02238	dmg:GY50_0025
ko:K02237	dmg:GY50_0026
ko:K03499	dmg:GY50_0027
ko:K03499	dmg:GY50_0028
ko:K03498	dmg:GY50_0030
ko:K03499	dmg:GY50_0031
ko:K07220	dmg:GY50_0034
ko:K03306	dmg:GY50_0035
ko:K00942	dmg:GY50_0036
ko:K09777	dmg:GY50_0037
ko:K00528	dmg:GY50_0038
ko:K00266	dmg:GY50_0039
ko:K06942	dmg:GY50_0046
ko:K02340	dmg:GY50_0048
ko:K00845	dmg:GY50_0050
ko:K01872	dmg:GY50_0051
ko:K07447	dmg:GY50_0052
ko:K00773	dmg:GY50_0053
ko:K03696	dmg:GY50_0056
ko:K04485	dmg:GY50_0058
ko:K00991	dmg:GY50_0059
ko:K01770	dmg:GY50_0060
ko:K00341	dmg:GY50_0810
ko:K00342	dmg:GY50_0811
ko:K00343	dmg:GY50_0812
ko:K03424	dmg:GY50_0813
ko:K10773	dmg:GY50_0814
ko:K02232	dmg:GY50_0815
ko:K01995	dmg:GY50_0817
ko:K01912	dmg:GY50_0819
ko:K01996	dmg:GY50_0820
ko:K01999	dmg:GY50_0821
ko:K01998	dmg:GY50_0823
ko:K01997	dmg:GY50_0824
ko:K01897	dmg:GY50_0825
ko:K00179	dmg:GY50_0826
ko:K00180	dmg:GY50_0827
ko:K04488	dmg:GY50_0830
ko:K08982	dmg:GY50_0832
ko:K17686	dmg:GY50_0833
ko:K13993	dmg:GY50_0834
ko:K03594	dmg:GY50_0835
ko:K04564	dmg:GY50_0836
ko:K02500	dmg:GY50_0842
ko:K09720	dmg:GY50_0843
ko:K09458	dmg:GY50_0845
ko:K07462	dmg:GY50_0846
ko:K08591	dmg:GY50_0847
ko:K13292	dmg:GY50_0848
ko:K06877	dmg:GY50_0849
ko:K09764	dmg:GY50_0850
ko:K02956	dmg:GY50_0851
ko:K00962	dmg:GY50_0852
ko:K00215	dmg:GY50_0853
ko:K00133	dmg:GY50_0854
ko:K01714	dmg:GY50_0855
ko:K01939	dmg:GY50_0858
ko:K01883	dmg:GY50_0061
ko:K07006	dmg:GY50_0070
ko:K04487	dmg:GY50_0073
ko:K03399	dmg:GY50_0081
ko:K00995	dmg:GY50_0859
ko:K08256	dmg:GY50_0860
ko:K01858	dmg:GY50_0861
ko:K03177	dmg:GY50_0863
ko:K02834	dmg:GY50_0864
ko:K02519	dmg:GY50_0865
ko:K07742	dmg:GY50_0866
ko:K02600	dmg:GY50_0867
ko:K07391	dmg:GY50_0868
ko:K02935	dmg:GY50_0872
ko:K02864	dmg:GY50_0873
ko:K02863	dmg:GY50_0874
ko:K02867	dmg:GY50_0875
ko:K02601	dmg:GY50_0876
ko:K03073	dmg:GY50_0877
ko:K02358	dmg:GY50_0878
ko:K15521	dmg:GY50_0881
ko:K07089	dmg:GY50_0884
ko:K01912	dmg:GY50_0894
ko:K03752	dmg:GY50_0130
ko:K00185	dmg:GY50_0133
ko:K00184	dmg:GY50_0134
ko:K06281	dmg:GY50_0142
ko:K06282	dmg:GY50_0143
ko:K00124	dmg:GY50_0144
ko:K01992	dmg:GY50_0146
ko:K01990	dmg:GY50_0148
ko:K03152	dmg:GY50_0150
ko:K01960	dmg:GY50_0151
ko:K01959	dmg:GY50_0152
ko:K00766	dmg:GY50_0156
ko:K02224	dmg:GY50_0158
ko:K07636	dmg:GY50_0167
ko:K01734	dmg:GY50_0168
ko:K02040	dmg:GY50_0169
ko:K03685	dmg:GY50_0910
ko:K01512	dmg:GY50_0912
ko:K01255	dmg:GY50_0915
ko:K01897	dmg:GY50_0918
ko:K06001	dmg:GY50_0919
ko:K01870	dmg:GY50_0923
ko:K06346	dmg:GY50_0925
ko:K03217	dmg:GY50_0926
ko:K03536	dmg:GY50_0928
ko:K02914	dmg:GY50_0929
ko:K02963	dmg:GY50_0930
ko:K02990	dmg:GY50_0932
ko:K03631	dmg:GY50_0938
ko:K10823	dmg:GY50_0943
ko:K15583	dmg:GY50_0944
ko:K15582	dmg:GY50_0945
ko:K15581	dmg:GY50_0946
ko:K15580	dmg:GY50_0947
ko:K07576	dmg:GY50_0948
ko:K03215	dmg:GY50_0951
