ko:K01126	xcf:J172_01272
ko:K05367	xcf:J172_01273
ko:K03594	xcf:J172_01274
ko:K13993	xcf:J172_01276
ko:K05516	xcf:J172_01277
ko:K02658	xcf:J172_01279
ko:K04088	xcf:J172_01281
ko:K04087	xcf:J172_01282
ko:K02414	xcf:J172_02097
ko:K02413	xcf:J172_02098
ko:K02412	xcf:J172_02099
ko:K02411	xcf:J172_02100
ko:K02410	xcf:J172_02101
ko:K02409	xcf:J172_02102
ko:K02408	xcf:J172_02103
ko:K00648	xcf:J172_02112
ko:K10941	xcf:J172_02115
ko:K03092	xcf:J172_02117
ko:K02422	xcf:J172_02121
ko:K02407	xcf:J172_02122
ko:K02406	xcf:J172_02123
ko:K02397	xcf:J172_02124
ko:K02396	xcf:J172_02125
ko:K02395	xcf:J172_02126
ko:K02394	xcf:J172_02127
ko:K02393	xcf:J172_02128
ko:K02392	xcf:J172_02129
ko:K02391	xcf:J172_02130
ko:K02390	xcf:J172_02131
ko:K02389	xcf:J172_02132
ko:K02388	xcf:J172_02133
ko:K02387	xcf:J172_02134
ko:K03415	xcf:J172_02135
ko:K02386	xcf:J172_02136
ko:K02398	xcf:J172_02137
ko:K03406	xcf:J172_02144
ko:K07153	xcf:J172_02145
ko:K09779	xcf:J172_02961
ko:K18893	xcf:J172_02969
ko:K02553	xcf:J172_02980
ko:K06182	xcf:J172_02984
ko:K05592	xcf:J172_02986
ko:K03088	xcf:J172_02987
ko:K14761	xcf:J172_02989
ko:K13529	xcf:J172_02995
ko:K00567	xcf:J172_02996
ko:K02014	xcf:J172_03002
ko:K02005	xcf:J172_03814
ko:K02003	xcf:J172_03815
ko:K02004	xcf:J172_03816
ko:K02004	xcf:J172_03817
ko:K04042	xcf:J172_03820
ko:K04093	xcf:J172_03822
ko:K02114	xcf:J172_03823
ko:K02112	xcf:J172_03824
ko:K02115	xcf:J172_03825
ko:K02111	xcf:J172_03826
ko:K02113	xcf:J172_03827
ko:K02109	xcf:J172_03828
ko:K02110	xcf:J172_03829
ko:K02108	xcf:J172_03830
ko:K00382	xcf:J172_03834
ko:K00627	xcf:J172_03836
ko:K07275	xcf:J172_03839
ko:K02073	xcf:J172_03842
ko:K02072	xcf:J172_03843
ko:K02071	xcf:J172_03844
ko:K09767	xcf:J172_03846
ko:K09941	xcf:J172_03850
ko:K06183	xcf:J172_03853
ko:K00564	xcf:J172_03854
ko:K01775	xcf:J172_03862
ko:K00285	xcf:J172_03863
ko:K03719	xcf:J172_03864
ko:K01754	xcf:J172_03630
ko:K01649	xcf:J172_03631
ko:K00052	xcf:J172_03632
ko:K01704	xcf:J172_03633
ko:K01703	xcf:J172_03634
ko:K00573	xcf:J172_03638
ko:K12340	xcf:J172_03639
ko:K02527	xcf:J172_03640
ko:K02517	xcf:J172_03641
ko:K00029	xcf:J172_03646
ko:K11103	xcf:J172_03647
ko:K07221	xcf:J172_03648
ko:K03288	xcf:J172_03650
ko:K06893	xcf:J172_03654
ko:K08151	xcf:J172_04467
ko:K01792	xcf:J172_04468
ko:K09858	xcf:J172_04470
ko:K07090	xcf:J172_04471
ko:K01495	xcf:J172_04475
ko:K06075	xcf:J172_04476
ko:K03761	xcf:J172_04481
ko:K07559	xcf:J172_04482
ko:K06131	xcf:J172_04483
ko:K06177	xcf:J172_04493
ko:K07483	xcf:J172_04495
ko:K09958	xcf:J172_04497
ko:K01941	xcf:J172_04499
ko:K09958	xcf:J172_04502
ko:K03581	xcf:J172_04507
ko:K03582	xcf:J172_04510
ko:K03583	xcf:J172_04511
ko:K02065	xcf:J172_04513
