ko:K09160	ahd:AI20_09505
ko:K01902	ahd:AI20_09520
ko:K01903	ahd:AI20_09525
ko:K00658	ahd:AI20_09530
ko:K00164	ahd:AI20_09535
ko:K00240	ahd:AI20_09540
ko:K00239	ahd:AI20_09545
ko:K00242	ahd:AI20_09550
ko:K03772	ahd:AI20_14250
ko:K03745	ahd:AI20_14260
ko:K03775	ahd:AI20_14265
ko:K07070	ahd:AI20_14270
ko:K03415	ahd:AI20_14280
ko:K07019	ahd:AI20_14285
ko:K09898	ahd:AI20_14290
ko:K00012	ahd:AI20_14295
ko:K07806	ahd:AI20_14300
ko:K10012	ahd:AI20_14305
ko:K10011	ahd:AI20_14310
ko:K13014	ahd:AI20_14315
ko:K07264	ahd:AI20_14320
ko:K12962	ahd:AI20_14325
ko:K12963	ahd:AI20_14330
ko:K00855	ahd:AI20_14335
ko:K07397	ahd:AI20_14350
ko:K10914	ahd:AI20_14355
ko:K00563	ahd:AI20_14360
ko:K01183	ahd:AI20_14375
ko:K07727	ahd:AI20_14390
ko:K05820	ahd:AI20_14400
ko:K16087	ahd:AI20_14405
ko:K07226	ahd:AI20_14425
ko:K07227	ahd:AI20_14430
ko:K02016	ahd:AI20_14435
ko:K02015	ahd:AI20_14440
ko:K02013	ahd:AI20_14445
ko:K02030	ahd:AI20_14450
ko:K08679	ahd:AI20_14460
ko:K01243	ahd:AI20_14475
ko:K06901	ahd:AI20_14500
ko:K05801	ahd:AI20_14505
ko:K07102	ahd:AI20_14515
ko:K04744	ahd:AI20_14520
ko:K03835	ahd:AI20_18910
ko:K12265	ahd:AI20_18925
ko:K12264	ahd:AI20_18930
ko:K12266	ahd:AI20_18935
ko:K03482	ahd:AI20_18940
ko:K02749	ahd:AI20_18945
ko:K02750	ahd:AI20_18945
ko:K01232	ahd:AI20_18950
ko:K03604	ahd:AI20_18955
ko:K01999	ahd:AI20_18960
ko:K01997	ahd:AI20_18965
ko:K01998	ahd:AI20_18970
ko:K01995	ahd:AI20_18980
ko:K01996	ahd:AI20_18985
ko:K02439	ahd:AI20_19000
ko:K02441	ahd:AI20_19005
ko:K09806	ahd:AI20_19015
ko:K05368	ahd:AI20_19020
ko:K03182	ahd:AI20_19025
ko:K03628	ahd:AI20_19035
ko:K03671	ahd:AI20_19040
ko:K03732	ahd:AI20_19045
ko:K01524	ahd:AI20_19050
ko:K15984	ahd:AI20_19065
ko:K02030	ahd:AI20_19070
ko:K01414	ahd:AI20_19080
ko:K01698	ahd:AI20_19085
ko:K03424	ahd:AI20_19090
ko:K03118	ahd:AI20_19095
ko:K03117	ahd:AI20_19100
ko:K03116	ahd:AI20_19105
ko:K03688	ahd:AI20_19110
ko:K03690	ahd:AI20_19115
ko:K03183	ahd:AI20_19120
ko:K06199	ahd:AI20_19125
ko:K01485	ahd:AI20_19130
ko:K03832	ahd:AI20_19170
ko:K03559	ahd:AI20_19175
ko:K03305	ahd:AI20_01860
ko:K00963	ahd:AI20_01865
ko:K02237	ahd:AI20_01870
ko:K01082	ahd:AI20_01875
ko:K09780	ahd:AI20_01880
ko:K06190	ahd:AI20_01885
ko:K01580	ahd:AI20_01890
ko:K11068	ahd:AI20_01895
ko:K07085	ahd:AI20_01900
ko:K03415	ahd:AI20_01920
ko:K10804	ahd:AI20_01925
ko:K02003	ahd:AI20_01930
ko:K02004	ahd:AI20_01935
ko:K07071	ahd:AI20_01940
ko:K05825	ahd:AI20_01950
ko:K03439	ahd:AI20_01960
ko:K09923	ahd:AI20_01965
ko:K01425	ahd:AI20_01970
ko:K09607	ahd:AI20_02015
ko:K09893	ahd:AI20_02025
ko:K01613	ahd:AI20_02060
ko:K06949	ahd:AI20_02065
ko:K13288	ahd:AI20_02070
ko:K03704	ahd:AI20_02105
ko:K07269	ahd:AI20_02110
ko:K03406	ahd:AI20_02115
ko:K01885	ahd:AI20_02120
ko:K03832	ahd:AI20_02175
ko:K03303	ahd:AI20_06630
ko:K00782	ahd:AI20_06645
ko:K02004	ahd:AI20_06660
ko:K02003	ahd:AI20_06665
ko:K07552	ahd:AI20_06685
ko:K07243	ahd:AI20_06710
ko:K03321	ahd:AI20_06750
ko:K01775	ahd:AI20_06770
ko:K06282	ahd:AI20_06775
ko:K06281	ahd:AI20_06790
ko:K03605	ahd:AI20_06795
ko:K02035	ahd:AI20_06805
ko:K02033	ahd:AI20_06810
ko:K02034	ahd:AI20_06815
ko:K04652	ahd:AI20_06830
ko:K04651	ahd:AI20_06840
ko:K04655	ahd:AI20_06845
ko:K04654	ahd:AI20_06850
ko:K04653	ahd:AI20_06855
ko:K04656	ahd:AI20_06860
ko:K03833	ahd:AI20_06865
ko:K01042	ahd:AI20_06870
ko:K08315	ahd:AI20_06875
ko:K15834	ahd:AI20_06880
ko:K12143	ahd:AI20_06890
ko:K15830	ahd:AI20_06895
ko:K12138	ahd:AI20_06900
ko:K12136	ahd:AI20_06910
ko:K03271	ahd:AI20_11295
ko:K06445	ahd:AI20_11300
