ko:K00382	paly:O3E_00715
ko:K02963	paly:O3E_00740
ko:K02939	paly:O3E_00745
ko:K01409	paly:O3E_00755
ko:K02970	paly:O3E_00760
ko:K03086	paly:O3E_00765
ko:K02297	paly:O3E_00770
ko:K02298	paly:O3E_00775
ko:K02299	paly:O3E_00780
ko:K02300	paly:O3E_00785
ko:K02956	paly:O3E_00810
ko:K00962	paly:O3E_00815
ko:K11179	paly:O3E_00835
ko:K07400	paly:O3E_00840
ko:K02426	paly:O3E_00845
ko:K01496	paly:O3E_00850
ko:K00627	paly:O3E_00875
ko:K00163	paly:O3E_00880
ko:K01714	paly:O3E_00885
ko:K02945	paly:O3E_00895
ko:K00800	paly:O3E_00900
ko:K14170	paly:O3E_00905
ko:K02469	paly:O3E_00910
ko:K03070	paly:O3E_00915
ko:K01978	paly:O3E_01715
ko:K14225	paly:O3E_00355
ko:K14225	paly:O3E_00380
ko:K14236	paly:O3E_00795
ko:K14221	paly:O3E_00855
ko:K14237	paly:O3E_00865
ko:K14224	paly:O3E_00350
ko:K14219	paly:O3E_00255
ko:K14235	paly:O3E_00390
ko:K14223	paly:O3E_01640
ko:K00821	paly:O3E_01405
ko:K02314	paly:O3E_00750
ko:K02257	paly:O3E_00790
