ko:K02004	ssuy:YB51_3150
ko:K02003	ssuy:YB51_3155
ko:K01929	ssuy:YB51_3160
ko:K02913	ssuy:YB51_1375
ko:K02911	ssuy:YB51_1380
ko:K01892	ssuy:YB51_1385
ko:K13953	ssuy:YB51_1390
ko:K04072	ssuy:YB51_1395
ko:K01733	ssuy:YB51_1400
ko:K16926	ssuy:YB51_1430
ko:K16785	ssuy:YB51_1435
ko:K16786	ssuy:YB51_1440
ko:K16787	ssuy:YB51_1440
ko:K00869	ssuy:YB51_1450
ko:K01597	ssuy:YB51_1455
ko:K00938	ssuy:YB51_1460
ko:K01823	ssuy:YB51_1465
ko:K07166	ssuy:YB51_1480
ko:K09157	ssuy:YB51_1485
ko:K03705	ssuy:YB51_1495
ko:K03687	ssuy:YB51_1500
ko:K04043	ssuy:YB51_1505
ko:K03686	ssuy:YB51_1510
ko:K01426	ssuy:YB51_1520
ko:K02424	ssuy:YB51_1525
ko:K10009	ssuy:YB51_1530
ko:K07727	ssuy:YB51_1550
ko:K01534	ssuy:YB51_1560
ko:K01534	ssuy:YB51_1565
ko:K09825	ssuy:YB51_1570
ko:K06173	ssuy:YB51_1575
ko:K00868	ssuy:YB51_1580
ko:K09702	ssuy:YB51_1595
ko:K01873	ssuy:YB51_2395
ko:K03574	ssuy:YB51_2410
ko:K01914	ssuy:YB51_2420
ko:K06207	ssuy:YB51_2425
ko:K03100	ssuy:YB51_2440
ko:K07284	ssuy:YB51_2460
ko:K01925	ssuy:YB51_2470
ko:K02563	ssuy:YB51_2475
ko:K03589	ssuy:YB51_2480
ko:K03590	ssuy:YB51_2485
ko:K03531	ssuy:YB51_2490
ko:K06997	ssuy:YB51_2495
ko:K09772	ssuy:YB51_2500
ko:K02221	ssuy:YB51_2505
ko:K04074	ssuy:YB51_2515
ko:K00657	ssuy:YB51_2520
ko:K01870	ssuy:YB51_2525
ko:K03574	ssuy:YB51_2545
ko:K03697	ssuy:YB51_2550
ko:K02029	ssuy:YB51_2560
ko:K02028	ssuy:YB51_2565
ko:K01491	ssuy:YB51_2570
ko:K03100	ssuy:YB51_2580
ko:K07284	ssuy:YB51_2595
ko:K08303	ssuy:YB51_2620
ko:K11068	ssuy:YB51_5090
ko:K03470	ssuy:YB51_5100
ko:K14540	ssuy:YB51_5105
ko:K06940	ssuy:YB51_5110
