ko:K05946	sauw:SAI5S5_1004870
ko:K09693	sauw:SAI5S5_1004880
ko:K07258	sauw:SAI5S5_1004920
ko:K18104	sauw:SAI5S5_1004930
ko:K16323	sauw:SAI5S5_1004940
ko:K02013	sauw:SAI5S5_1004960
ko:K02015	sauw:SAI5S5_1004970
ko:K02015	sauw:SAI5S5_1004980
ko:K05878	sauw:SAI5S5_1004990
ko:K05879	sauw:SAI5S5_1005000
ko:K07220	sauw:SAI5S5_1005100
ko:K03306	sauw:SAI5S5_1005110
ko:K04487	sauw:SAI5S5_1012510
ko:K06286	sauw:SAI5S5_1012520
ko:K02986	sauw:SAI5S5_1012530
ko:K01126	sauw:SAI5S5_1012550
ko:K00058	sauw:SAI5S5_1012580
ko:K02803	sauw:SAI5S5_1012600
ko:K02804	sauw:SAI5S5_1012600
ko:K00655	sauw:SAI5S5_1012610
ko:K01866	sauw:SAI5S5_1012630
ko:K12551	sauw:SAI5S5_1012640
ko:K01938	sauw:SAI5S5_1012660
ko:K01895	sauw:SAI5S5_1012670
ko:K04766	sauw:SAI5S5_1012680
ko:K04768	sauw:SAI5S5_1012690
ko:K02529	sauw:SAI5S5_1012700
ko:K13853	sauw:SAI5S5_1012710
ko:K01924	sauw:SAI5S5_1012740
ko:K03466	sauw:SAI5S5_1012750
ko:K06878	sauw:SAI5S5_1012760
ko:K01261	sauw:SAI5S5_1012780
ko:K03439	sauw:SAI5S5_1012800
ko:K00824	sauw:SAI5S5_1012820
ko:K01439	sauw:SAI5S5_1012830
ko:K06183	sauw:SAI5S5_1012840
ko:K07007	sauw:SAI5S5_1012860
ko:K01869	sauw:SAI5S5_1012880
ko:K07139	sauw:SAI5S5_1012900
ko:K00318	sauw:SAI5S5_1012940
ko:K14652	sauw:SAI5S5_1012950
ko:K00793	sauw:SAI5S5_1012960
ko:K11752	sauw:SAI5S5_1012970
ko:K03893	sauw:SAI5S5_1012990
ko:K03650	sauw:SAI5S5_1020310
ko:K01870	sauw:SAI5S5_20020
ko:K01990	sauw:SAI5S5_1001500
ko:K02031	sauw:SAI5S5_1001510
ko:K02032	sauw:SAI5S5_1001510
ko:K02033	sauw:SAI5S5_1001520
ko:K02034	sauw:SAI5S5_1001530
ko:K02035	sauw:SAI5S5_1001540
ko:K01118	sauw:SAI5S5_1001570
ko:K10112	sauw:SAI5S5_1001590
ko:K15770	sauw:SAI5S5_1001600
ko:K15771	sauw:SAI5S5_1001610
ko:K15772	sauw:SAI5S5_1001620
ko:K07784	sauw:SAI5S5_1001670
ko:K07720	sauw:SAI5S5_1001680
ko:K02012	sauw:SAI5S5_1001700
ko:K00656	sauw:SAI5S5_1001710
ko:K04069	sauw:SAI5S5_1001720
ko:K01126	sauw:SAI5S5_1001730
ko:K07516	sauw:SAI5S5_1001760
ko:K00252	sauw:SAI5S5_1001770
ko:K01897	sauw:SAI5S5_1001780
ko:K02035	sauw:SAI5S5_1001810
ko:K05916	sauw:SAI5S5_1001820
ko:K00016	sauw:SAI5S5_1001830
ko:K02773	sauw:SAI5S5_1001870
ko:K02775	sauw:SAI5S5_1001880
ko:K00008	sauw:SAI5S5_1001890
ko:K00008	sauw:SAI5S5_1001900
ko:K05352	sauw:SAI5S5_1001920
ko:K01681	sauw:SAI5S5_1009660
ko:K07107	sauw:SAI5S5_1009670
ko:K08591	sauw:SAI5S5_1009680
ko:K02622	sauw:SAI5S5_1009690
ko:K02621	sauw:SAI5S5_1009700
ko:K03310	sauw:SAI5S5_1009710
ko:K03480	sauw:SAI5S5_1009720
ko:K14205	sauw:SAI5S5_1009740
ko:K07304	sauw:SAI5S5_1009750
ko:K04517	sauw:SAI5S5_1009780
ko:K01657	sauw:SAI5S5_1009800
ko:K01658	sauw:SAI5S5_1009810
ko:K00766	sauw:SAI5S5_1009820
ko:K01609	sauw:SAI5S5_1009830
ko:K01696	sauw:SAI5S5_1009840
ko:K01695	sauw:SAI5S5_1009850
ko:K11694	sauw:SAI5S5_1009860
ko:K11695	sauw:SAI5S5_1009870
ko:K02034	sauw:SAI5S5_1009930
ko:K02033	sauw:SAI5S5_1009940
ko:K02039	sauw:SAI5S5_1009960
ko:K02036	sauw:SAI5S5_1009970
ko:K02038	sauw:SAI5S5_1009980
ko:K02037	sauw:SAI5S5_1009990
