ko:K03639	hei:C730_03955
ko:K03752	hei:C730_03960
ko:K02401	hei:C730_03965
ko:K03524	hei:C730_05880
ko:K00604	hei:C730_05885
ko:K02884	hei:C730_05925
ko:K00554	hei:C730_05930
ko:K02860	hei:C730_05935
ko:K06960	hei:C730_05940
ko:K02959	hei:C730_05945
ko:K03106	hei:C730_05950
ko:K01873	hei:C730_05955
ko:K02563	hei:C730_05965
ko:K00286	hei:C730_05980
ko:K04095	hei:C730_05985
ko:K07042	hei:C730_05990
ko:K03839	hei:C730_05995
ko:K02952	hei:C730_06705
ko:K02919	hei:C730_06710
ko:K02518	hei:C730_06715
ko:K01265	hei:C730_06720
ko:K03076	hei:C730_06725
ko:K02876	hei:C730_06730
ko:K02988	hei:C730_06735
ko:K02881	hei:C730_06740
ko:K02933	hei:C730_06745
ko:K02994	hei:C730_06750
ko:K02954	hei:C730_06755
ko:K02931	hei:C730_06760
ko:K02895	hei:C730_06765
ko:K02874	hei:C730_06770
ko:K02961	hei:C730_06775
ko:K02904	hei:C730_06780
ko:K02878	hei:C730_06785
ko:K02982	hei:C730_06790
ko:K02890	hei:C730_06795
ko:K02965	hei:C730_06800
ko:K02886	hei:C730_06805
ko:K02892	hei:C730_06810
ko:K02926	hei:C730_06815
ko:K02906	hei:C730_06820
ko:K02946	hei:C730_06825
ko:K07133	hei:C730_06830
ko:K03470	hei:C730_06840
ko:K07787	hei:C730_06870
ko:K03686	hei:C730_06885
ko:K00566	hei:C730_06900
ko:K00969	hei:C730_06910
ko:K07722	hei:C730_06915
ko:K03561	hei:C730_06920
ko:K03832	hei:C730_06930
ko:K03284	hei:C730_06945
ko:K00927	hei:C730_06950
ko:K00134	hei:C730_06955
ko:K03648	hei:C730_06960
ko:K00655	hei:C730_06965
ko:K03797	hei:C730_06975
ko:K04077	hei:C730_00045
ko:K04078	hei:C730_00050
ko:K00566	hei:C730_00060
ko:K09859	hei:C730_00085
ko:K03415	hei:C730_00090
ko:K13747	hei:C730_00095
ko:K03760	hei:C730_00105
ko:K01647	hei:C730_00120
ko:K00031	hei:C730_00125
ko:K01935	hei:C730_00135
ko:K06891	hei:C730_00150
ko:K03694	hei:C730_00155
ko:K01579	hei:C730_00160
ko:K09747	hei:C730_00165
ko:K01711	hei:C730_00200
ko:K02377	hei:C730_00205
ko:K04656	hei:C730_00220
ko:K13821	hei:C730_00265
ko:K03190	hei:C730_00320
ko:K03189	hei:C730_00325
ko:K03625	hei:C730_00005
ko:K00794	hei:C730_00010
ko:K01627	hei:C730_00015
ko:K01673	hei:C730_00020
ko:K01591	hei:C730_00025
ko:K01918	hei:C730_00030
ko:K03188	hei:C730_00330
ko:K03187	hei:C730_00335
ko:K01428	hei:C730_00350
ko:K03101	hei:C730_00360
ko:K03431	hei:C730_00365
ko:K02968	hei:C730_00370
ko:K02835	hei:C730_00375
ko:K02996	hei:C730_00405
ko:K02871	hei:C730_00410
ko:K00116	hei:C730_00420
ko:K03086	hei:C730_00430
ko:K00645	hei:C730_00440
ko:K01733	hei:C730_00480
ko:K09765	hei:C730_00490
ko:K07173	hei:C730_00515
ko:K04043	hei:C730_00535
ko:K03687	hei:C730_00540
ko:K03705	hei:C730_00545
ko:K01628	hei:C730_00550
ko:K02406	hei:C730_00565
ko:K03168	hei:C730_00570
ko:K01868	hei:C730_00605
ko:K02520	hei:C730_00610
ko:K02916	hei:C730_00615
ko:K02887	hei:C730_00620
ko:K01752	hei:C730_00650
ko:K03837	hei:C730_00655
ko:K01626	hei:C730_00660
ko:K03564	hei:C730_00670
ko:K00782	hei:C730_00675
ko:K03303	hei:C730_00690
ko:K03303	hei:C730_00695
ko:K03575	hei:C730_00700
ko:K00404	hei:C730_00715
ko:K00405	hei:C730_00720
ko:K00407	hei:C730_00725
ko:K00406	hei:C730_00730
ko:K01689	hei:C730_00770
ko:K00891	hei:C730_00785
ko:K01698	hei:C730_00810
ko:K08303	hei:C730_00835
ko:K02836	hei:C730_00845
ko:K03750	hei:C730_00850
ko:K02421	hei:C730_00855
ko:K01624	hei:C730_00875
ko:K02356	hei:C730_00880
ko:K04487	hei:C730_01110
ko:K13819	hei:C730_01115
ko:K04485	hei:C730_01125
ko:K12267	hei:C730_01130
ko:K07090	hei:C730_01140
ko:K03321	hei:C730_01150
ko:K00979	hei:C730_01160
ko:K03981	hei:C730_01165
ko:K01749	hei:C730_01195
ko:K01881	hei:C730_01200
ko:K02492	hei:C730_01205
ko:K02523	hei:C730_01210
ko:K04047	hei:C730_01225
ko:K07710	hei:C730_01230
ko:K05592	hei:C730_01250
ko:K13896	hei:C730_01265
ko:K13895	hei:C730_01270
ko:K01939	hei:C730_01290
ko:K11749	hei:C730_01305
ko:K03601	hei:C730_01310
ko:K03695	hei:C730_01335
ko:K01465	hei:C730_01345
ko:K06168	hei:C730_01360
ko:K09778	hei:C730_01365
ko:K06940	hei:C730_01385
ko:K01609	hei:C730_01395
ko:K01772	hei:C730_02130
ko:K15257	hei:C730_02135
ko:K03168	hei:C730_02235
ko:K01154	hei:C730_02365
ko:K03427	hei:C730_02375
ko:K01153	hei:C730_02380
ko:K08602	hei:C730_02410
ko:K02020	hei:C730_02425
ko:K02018	hei:C730_02430
ko:K01524	hei:C730_01405
ko:K02841	hei:C730_01410
ko:K02517	hei:C730_01415
ko:K00773	hei:C730_01420
ko:K09944	hei:C730_01425
ko:K01735	hei:C730_01430
ko:K01586	hei:C730_01465
ko:K01163	hei:C730_01475
ko:K02397	hei:C730_01490
ko:K02888	hei:C730_01495
ko:K02899	hei:C730_01500
ko:K12368	hei:C730_01505
ko:K12370	hei:C730_01515
ko:K12372	hei:C730_01525
ko:K03979	hei:C730_01530
ko:K01845	hei:C730_01545
ko:K07226	hei:C730_01610
ko:K01887	hei:C730_01615
ko:K03116	hei:C730_01620
ko:K00942	hei:C730_01625
ko:K02393	hei:C730_01645
ko:K00912	hei:C730_01660
ko:K00053	hei:C730_01670
ko:K03609	hei:C730_01675
ko:K03608	hei:C730_01680
ko:K06207	hei:C730_02460
ko:K03781	hei:C730_02495
ko:K10716	hei:C730_02520
ko:K02902	hei:C730_02525
ko:K15846	hei:C730_02530
ko:K01000	hei:C730_02535
ko:K01925	hei:C730_02540
ko:K07107	hei:C730_02550
ko:K03308	hei:C730_02555
ko:K03308	hei:C730_02560
ko:K01058	hei:C730_02565
ko:K02338	hei:C730_02570
ko:K02470	hei:C730_02575
ko:K00215	hei:C730_02620
ko:K01915	hei:C730_02630
ko:K02939	hei:C730_02645
ko:K01419	hei:C730_02650
ko:K03667	hei:C730_02655
ko:K12086	hei:C730_02675
ko:K12088	hei:C730_02690
ko:K12090	hei:C730_02700
ko:K12091	hei:C730_02710
ko:K12092	hei:C730_02720
ko:K12093	hei:C730_02725
ko:K12094	hei:C730_02730
ko:K12095	hei:C730_02735
ko:K12096	hei:C730_02740
ko:K12097	hei:C730_02745
ko:K10773	hei:C730_03020
ko:K07082	hei:C730_03035
ko:K00176	hei:C730_03040
ko:K00174	hei:C730_03045
ko:K00175	hei:C730_03050
ko:K00177	hei:C730_03055
ko:K03611	hei:C730_03075
ko:K02406	hei:C730_03115
ko:K01599	hei:C730_03130
ko:K01972	hei:C730_03185
ko:K03415	hei:C730_03190
ko:K01876	hei:C730_03195
ko:K07270	hei:C730_03210
ko:K07456	hei:C730_03220
ko:K01924	hei:C730_03230
ko:K03923	hei:C730_03265
ko:K03620	hei:C730_03280
ko:K03820	hei:C730_00895
ko:K03558	hei:C730_00900
ko:K04567	hei:C730_00905
ko:K00600	hei:C730_00910
ko:K00246	hei:C730_00960
ko:K01803	hei:C730_00965
ko:K00208	hei:C730_00970
ko:K02536	hei:C730_00975
ko:K00789	hei:C730_00980
ko:K00940	hei:C730_00985
ko:K02911	hei:C730_00995
ko:K04096	hei:C730_01685
ko:K07447	hei:C730_01690
ko:K06180	hei:C730_01760
ko:K07462	hei:C730_01765
ko:K01937	hei:C730_01770
ko:K02409	hei:C730_01780
ko:K02410	hei:C730_01785
ko:K02411	hei:C730_01790
ko:K01662	hei:C730_01795
ko:K03596	hei:C730_01800
ko:K06173	hei:C730_01830
ko:K07091	hei:C730_01835
ko:K00573	hei:C730_01840
ko:K01961	hei:C730_01880
ko:K02160	hei:C730_01885
ko:K01494	hei:C730_01890
ko:K09761	hei:C730_01900
ko:K01772	hei:C730_01910
ko:K03621	hei:C730_01000
ko:K00648	hei:C730_01005
ko:K04079	hei:C730_01055
ko:K03495	hei:C730_01070
ko:K14445	hei:C730_01075
ko:K00981	hei:C730_01085
ko:K00099	hei:C730_01090
ko:K00262	hei:C730_01930
ko:K02493	hei:C730_01935
ko:K04066	hei:C730_01965
ko:K15256	hei:C730_01970
ko:K04564	hei:C730_01975
